8660,-8676,1061,7056,-3451,5824,-6500,-4783,-6551,3962
1479,8151,-9369,-6689,2827,-6623,7720,5190,1073,-9001
9652,-1373,7152,935,3276,-1134,-520,-739,4045,-8617
5980,6223,2383,-3400,-3248,6004,-7099,-7241,-6085,-3779
9251,-5062,2370,4206,-8296,8698,-1453,-2234,2982,-3002
4147,-2520,-1140,3077,8656,-4962,4702,2897,-3370,5066
782,1932,7382,-5292,238,5092,9712,8791,2443,1295
-4121,-7557,6919,8178,-7002,9745,549,-4749,5981,4697
4299,3247,5342,5833,825,5946,-6021,5561,1284,-1353
-6434,-3035,-4911,1681,1885,1707,-4159,-74,5442,-7850
